titulo,fecha,duracion,url,id_asset,descripcion,fecha_publicacion,duracion_iso,url_embed,url_thumbnail,canciones,keywords,director
11.326 - Lo mejor del Blues 1966,24/05/2021,01:00:14,https://www.rtve.es/play/audios/discopolis/mejor-del-blues-1966-24-05-21/5910492/,5910492,El viernes oímos un disco producido por Paul Oliver en el sello Storyville de Copenhague con guitarristas de blues. Llegó a España en 1973 a través de Discop...,2021-05-24 14:00:00,PT60M,https://www.rtve.es/drmn/embed/audio/5910492,https://img2.rtve.es/a/5910492/?imgProgApi=imgBackground&w=400,"El viernes oímos un disco producido por Paul Oliver en el sello Storyville de Copenhague con guitarristas de blues. Llegó a España en 1973 a través de Discophon. Oliver produjo un segundo elepé, el mismo año, con más variedad instrumental y con grabaciones realizadas desde 1960. También lo publicó Discophon en serie barata en 1973. V.A. ‎– THE BEST OF THE BLUESStoryville, Dinamarca 1966. Discophon, España‎ – 1973Lista de TítulosA1 –Big Bill Broonzy - Diggin´ My Potatoes 3:15A2 –Speckled Red - Uncle Sam´s Blues 3:10A3 –Memphis Slim - Bertha May 5:25A4 –Champion Jack Dupree - Christina Blues 3:17A5 –Big Joe Williams - Vitamin A Blues 2:30A6 –Lonnie Johnson - Don´t Cry Baby (nana infantil) 2:15B1 –Roosevelt Sykes - The Way I Feel 3:35B2 –Sleepy John Estes - City Hall Blues 4:50B3 –John Henry Barbee - Early In The Morning 3:18B4 –Sunnyland Slim - One Room Country Shack 3:07B5 –Sonny Boy Williamson &amp; Memphis Slim con Matt Murphy - Copenhagen Woman 3:40B6 –Otis Spann - Boots And Shoes 3:10","discopolis, 11.326 - lo mejor del blues 1966, radio, rne, online, rtve play",José Miguel López
11.327: The World of Blues Power,25/05/2021,00:59:02,https://www.rtve.es/play/audios/discopolis/world-of-blues-power-25-05-21/5915707/,5915707,Tras dos capítulos dedicados a bluesmen norteamericanos grabados en Copenhague vamos a ver como evoluciona el género en Inglaterra. El sello Decca grabó un m...,2021-05-25 14:00:00,PT59M,https://www.rtve.es/drmn/embed/audio/5915707,https://img2.rtve.es/a/5915707/?imgProgApi=imgBackground&w=400,"Tras dos capítulos dedicados a bluesmen norteamericanos grabados en Copenhague vamos a ver como evoluciona el género en Inglaterra. El sello Decca grabó un montón de grupos a partir de 1965. Tres años después comenzó a publicar antologías para su serie barata. Esas llegaron a España antes que los elepés originales. Hoy repasamos la primera de todas, que a pesar de su título no es igual a la inglesa o a la europea. Es una edición original acoplada en España, a razón de músicos ingleses y viejos bluesmen norteamericanos alternándose, un corte cada uno. Es lo que hace única esta antología que se cotiza muy alta. V.A. – The World Of Blues PowerDecca – CPS 9072 España 1970Lista de TítulosA1 Savoy Brown– Don't Turn Me From Your DoorA2 Shakey Horton– Can't Help MyselfA3 John Mayall– Checkin' Up On My BanyA4 Homesick James– Crutch And CaneA5 Ten Years After– Going To TryA6 Eddie Boyd– Too Bad - parte 1B1 Keef Hartley– Leavin' TrunkB2 Robert Nighthawk– Lula MaeB3 John Mayall– You Don't Love MeB4 Savoy Brown– She's Got A Ring In His Nose And A Ring On Her HandBonus track:C3 Savoy Brown- Where Am I?","discopolis, 11.327: the world of blues power, radio, rne, online, rtve play",José Miguel López
11.328: Super Blues World I,26/05/2021,01:00:00,https://www.rtve.es/play/audios/discopolis/super-blues-world-26-05-21/5915688/,5915688,"De la primera antología de blues aparecida en España, en 1970, a través de Decca nos faltaron ayer por oír dos temas. Una vez oído ese soberbio disco que alt...",2021-05-26 14:00:00,PT60M,https://www.rtve.es/drmn/embed/audio/5915688,https://img2.rtve.es/a/5915688/?imgProgApi=imgBackground&w=400,"De la primera antología de blues aparecida en España, en 1970, a través de Decca nos faltaron ayer por oír dos temas:V.A. The World Of Blues PowerDecca – CPS 9072 España 1970Lista de TítulosB6 Ten Years After– Speed KillsB5 Champion Jack Dupree– Third DegreeUna vez oído ese soberbio disco que alternaba un tema inglés moderno con otro norteamericano clásico de Chicago, vamos con la segunda antología, que se publica en España como respuesta al doble 'Llena tu cabeza de rock' de la CBS que arrasó en 1970 y supuso la tarjeta de presentación de la compañía al asentarse en España. En este doble todos los artistas son británicos menos Frijid Pink que eran de Detroit, los Bintangs y Blues Dimension, holandeses, y el gran Otis Spann, nacido en Misisipi pero considerado uno de los mejores pianistas de Chicago. V.A. Super Blues WorldDecca – DCS 15000. España 1970A1 Frijid Pink– Drivin' BluesA2 Black Cat Bones– Death Valley BluesA3 Savoy Brown– Where Am IA4 John Mayall con Mick Taylor – Oh, Pretty WomanA5 Rod Stewart– Good Morning Little SchoolgirlA6 The Bintangs– Travelling In The U.S.A. B1 Ten Years After– Speed KillsB2 Keef Hartley Band– Not Foolish, Not WiseB3 Frijid Pink– Boozin' BluesB4 Pacific Drift– Plaster Caster's U.S.A. B6 Otis Spann– Pretty Girls EverywhereB5 Blues Dimension– Don't Wanna Lose HerC2 Frijid Pink - Tell me Why","discopolis, 11.328: super blues world i, radio, rne, online, rtve play",José Miguel López
"11.329: Super Blues World II, Blues & Rock I",27/05/2021,01:00:10,https://www.rtve.es/play/audios/discopolis/super-blues-world-ii-blues-rock-27-05-21/5915706/,5915706,"Terminamos el repaso del doble elepé ""Super Blues World""",2021-05-27 14:00:00,PT60M,https://www.rtve.es/drmn/embed/audio/5915706,https://img2.rtve.es/a/5915706/?imgProgApi=imgBackground&w=400,"Terminamos el repaso del doble elepé 'Super Blues World'V.A. – Super Blues World (II)Decca – DCS 15000. España Columbia 1970Lista de cancionesC1 Savoy Brown– A Hard Way To GoC3 John Mayall con Peter Green– So Many RoadsC6 Ten Years After– Going To TryD1 Keef Hartley Band – Don't Be AfraidD3 John Mayall, tocando él solo todos los instrumentos– Don't Kick MeD5 Black Cat Bones– Save My LoveBonus interludio no incluido en ninguno de los elepés que estamos repasando:Frijid Pink - The House of the Rising Sun. Una vez terminado el repaso de este fenomenal disco, y el Bonus Interludio, vamos con otro mejor: 'Blues and Rock' publicado dos años después, donde se eligieron las canciones con más mimo. Aquí no se puede prescindir de ninguna. Nos ocupará el programa del lunes y parte del próximo martes. Fue edición 'made in Spain' que tuvo réplica dos años después en Alemania. Por una vez, nos adelantamos. V.A – Blues &amp; Rock (I)Decca – DCS 15020/21 España, Columbia 1972Lista de TítulosA1 John Mayall &amp; The Bluesbreakers &amp; Eric Clapton– All Your Love 3:34A2 Ten Years After– Spoonful 6:03A3 Savoy Brown– Taste And Try Before You Buy 2:21A4 John Mayall &amp; The Bluesbreakers &amp; Peter Green – GreenyMañana haremos un interludio con 'El Blues en el Jazz Moderno'.","discopolis, 11.329: super blues world ii, blues & rock i, radio, rne, online, rtve play",José Miguel López
11.330: El Blues en el Jazz Moderno 1961,28/05/2021,00:58:54,https://www.rtve.es/play/audios/discopolis/blues-jazz-moderno-1961-28-05-21/5920712/,5920712,"Discópolis se convierte hoy en Discópolis jazz para ver cómo influyó el blues en el jazz moderno. Rescatamos un vinilo del sello Atlantic de 1961, que ha rec...",2021-05-28 14:00:00,PT58M,https://www.rtve.es/drmn/embed/audio/5920712,https://img2.rtve.es/a/5920712/?imgProgApi=imgBackground&w=400,"Discópolis se convierte hoy en Discópolis jazz para ver cómo influyó el blues en el jazz moderno. Rescatamos un vinilo del sello Atlantic de 1961, que ha recibido numerosas reediciones. Se publicó en mono, se reconvirtió al estéreo seis años después, nos llegó a España en 1967, pasó sin pena ni gloria, pero en 1969 se relanzó en Europa y aquí volvimos a editarlo manteniendo el anterior número del Depósito Legal (M.5334-1967). El disco es más que sobresaliente, por eso lo pongo. En todas las ediciones se mantuvieron las notas de carpeta escritas por Gunther Schuller y la portada de Picasso. Sin embargo, los créditos detallados nunca se dieron a conocer en España. Aquí los tenéis en inglés. V.A. – The Blues in Modern Jazz: El Blues en el Jazz Moderno. Atlantic – HAT 421-03, Hispavox. España 1967. Portada de Pablo Picasso. Lista de Títulos:A1 Dizzy Gillespie– Just BluesBass – Joe BenjaminDrums – Bill ClarkPiano – Art SimmonsTenor Saxophone – Don ByasWritten-By, Trumpet – Dizzy GillespieBass – Joe BenjaminDrums – Bill ClarkPiano – Art SimmonsTenor Saxophone – Don ByasWritten-By, Trumpet – Dizzy Gillespie2:56A2 Art Blakey's Jazz Messengers With Thelonious Monk– Blue MonkBass – Spanky DeBrestDrums – Art BlakeyTenor Saxophone – Johnny GriffinTrumpet – Bill HardmanWritten-By, Piano – Thelonious MonkBass – Spanky DeBrestDrums – Art BlakeyTenor Saxophone – Johnny GriffinTrumpet – Bill HardmanWritten-By, Piano – Thelonious Monk7:49A3 Lennie Tristano– RequiemWritten-By, Piano – Lennie TristanoWritten-By, Piano – Lennie Tristano4:51A4 Charles Mingus– Haitian Fight SongAlto Saxophone, Tenor Saxophone – Curtis PorterDrums – Dannie RichmondPiano – Wade LeggeTrombone – Jimmy KnepperWritten-By, Bass – Charles MingusAlto Saxophone, Tenor Saxophone – Curtis PorterDrums – Dannie RichmondPiano – Wade LeggeTrombone – Jimmy KnepperWritten-By, Bass – Charles Mingus7:09B1 Milt Jackson– Blues At TwilightBass – Oscar PettifordDrums – Connie KayPiano – Horace SilverTenor Saxophone – Lucky ThompsonTrumpet – Joe NewmanVibraphone [Vibraharp] – Milt JacksonWritten-By – Quincy JonesBass – Oscar PettifordDrums – Connie KayPiano – Horace SilverTenor Saxophone – Lucky ThompsonTrumpet – Joe NewmanVibraphone [Vibraharp] – Milt JacksonWritten-By – Quincy Jones6:46B2 Ray Charles– Sweet Sixteen BarsBass – Roosevelt SheffieldDrums – William PeeplesWritten-By, Piano – Ray CharlesBass – Roosevelt SheffieldDrums – William PeeplesWritten-By, Piano – Ray Charles4:04B3 Jimmy Giuffre– Two Kinds Of BluesBass – Ralph PenaGuitar – Jim HallWritten-By, Clarinet – Jimmy GiuffreBass – Ralph PenaGuitar – Jim HallWritten-By, Clarinet – Jimmy Giuffre5:10B4 The Modern Jazz Quartet– BluesologyBass – Percy HeathDrums – Connie KayPiano – John LewisWritten-By, Vibraphone [Vibraharp] – Milt Jackson. 5:04Bonus, no incluidos en aquel elepé:Mongo Santamaria: Watermelon ManMiguel Rios: Blues de la soledad.","discopolis, 11.330: el blues en el jazz moderno 1961, radio, rne, online, rtve play",José Miguel López
11.333: Blues & Rock II (1972),31/05/2021,01:01:19,https://www.rtve.es/play/audios/discopolis/11333-blues-rock-ii-1972/5920892/,5920892,"Fabuloso disco recopilatorio de Discos Columbia, de 1972. Empezamos a repasarlo el viernes; hoy nos ocupa todo el programa y lo terminaremos mañana. Es el me...",2021-05-31 14:00:00,PT61M,https://www.rtve.es/drmn/embed/audio/5920892,https://img2.rtve.es/a/5920892/?imgProgApi=imgBackground&w=400,"Fabuloso disco recopilatorio de Discos Columbia, de 1972. Empezamos a repasarlo el viernes; hoy nos ocupa todo el programa y lo terminaremos mañana. Es el mejor de la serie. Consta principalmente de artistas de la Escuela Británica de Blues, con algún añadido. Os pongo copia original española analógica que suena de forma extraordinaria. V.A. – BLUES &amp; ROCKDecca – DCS 15020/21 España 1972Lista de cancionesA4 John Mayall &amp; The Bluesbreakers &amp; Peter Green– Greeny 3:53A5 Champion Jack Dupree &amp; Mickey 'Guitar' Baker– Barrelhouse Woman 2:01B1 Eddie Boyd– Blue Coat Man 2:30B2 John Mayall &amp; The Bluesbreakers &amp; Peter Green– Out Of Reach 4:41B3 Champion Jack Dupree &amp; Mickey 'Guitar' Baker– I Feel Like A Millionaire 2:43B4 Savoy Brown– Someday People 4:31B5 Ten Years After– Feel It For Me 2:40C1 East Of Eden– Jig-A-Jig 3:38C2 Savoy Brown– Poor Girl 5:20C3 Warren Phillips And The Rockets– Blues Suede Shoes 2:20C4 Frijid Pink– Sloony 3:35C5 The Moody Blues– Go Now 3:14C6 Ten Years After– I'm Going Home 4:15D1 Frijid Pink– Sing A Song For Freedom 3:00D2 Amen Corner– Good Times 2:52D3 Warren Philips &amp; The Rockets– Be-Bop-A-Lula 2:18D4 The Keef Hartley Band– The Time Is Near 7:45Mañana terminaremos este doble elepé y recuperaré 'Esto es Rock and Roll' de Liberty 1968 que quedó pendiente hace unos meses.","discopolis, 11.333: blues & rock ii (1972), radio, rne, online, rtve play",José Miguel López
11.334: Blues & Rock III - Liberty Rock & Roll,01/06/2021,01:01:32,https://www.rtve.es/play/audios/discopolis/liberty-rock-roll/5920921/,5920921,"Terminamos el repaso del fabuloso elepé doble recopilatorio que lleva ocupándonos unos días V.A. - BLUES & ROCKDecca - DCS 15020/21 España 1972Lista de...",2021-06-01 14:00:00,PT61M,https://www.rtve.es/drmn/embed/audio/5920921,https://img2.rtve.es/a/5920921/?imgProgApi=imgBackground&w=400,"Terminamos el repaso del fabuloso elepé doble recopilatorio que lleva ocupándonos unos díasV.A. – BLUES &amp; ROCKDecca – DCS 15020/21 España 1972Lista de canciones pendientesD1 Frijid Pink– Sing A Song For Freedom 3:00D2 Amen Corner– Good Times 2:52D3 Warren Philips &amp; The Rockets– Be-Bop-A-Lula 2:18D4 The Keef Hartley Band– The Time Is Near 7:45Luego cumplimos una promesa que en su momento no pude complacer. Me rompí una pierna con Filomena y durante unos cuantos meses he tenido impedida la movilidad, hasta el punto de no poder acceder a un tocadiscos para transcribir y poneros un extraordinario vinilo de 1968 que no tiene equivalente en el mercado internacional, publicado en España en 1968. Casi todas las canciones están en antologías digitales, pero no todas. Además con su programación quiero destacar cómo conocimos el rock and roll en España, que por supuesto nos llegó, pero nunca en una antología tan buena, completa y tan bien elegida. Os pongo la edición única española en mono y sin retocar, tal como la leyó el tocadiscos analógico. V.A. ¡ESTO ES ROCK AND ROLL! Liberty, Hispavox, España 1968Listado de cancionesA1.- LARRY WILLIAMS Bonnie MoronieA2.- JERRY LEE LEWIS Great Balls of FireA3.- BILL JUSTIS RaunchyA4.- FATS DOMINO Ain't that a ShameA5.- JOHNNY RIVERS MemphisA6.- BILLY WARD &amp; THE DOMINOES StardustA7.- EDDIE COCHRAN Long Tall SallyB1.- THE TRASHMEN Surfin' birdB2.- LARRY WILLIAMS Short Fat FannieB3.- BILL BLACK COMBO Hearts of StoneB4.- FATS DOMINO Blueberry HillB5.- BUDDY KNOX Party DollB6.- JOHNNY &amp; THE HURRICANES Red River Rock (Valle del Jarama)B7.- EDDIE COCHRAN Summertime BluesBonus:MUDDY WATERS The Blues Had a Baby and They Named it Rock and Roll","discopolis, 11.334: blues & rock iii - liberty rock & roll, radio, rne, online, rtve play",José Miguel López
"11.335: Blanca Altable , Ambe, All Around Folks...",02/06/2021,01:01:17,https://www.rtve.es/play/audios/discopolis/blanca-altable-ambe-all-around-folks/5925430/,5925430,"Novedades diversasBlanca Altable, violinista burgalesa de mucho nivel, presenta nuevo disco, grabado, por ella sola, en tiempos de pandemia. Se titula ""Somo...",2021-06-02 14:00:00,PT61M,https://www.rtve.es/drmn/embed/audio/5925430,https://img2.rtve.es/a/5925430/?imgProgApi=imgBackground&w=400,,"discopolis, 11.335: blanca altable , ambe, all around folks..., radio, rne, online, rtve play",José Miguel López
11.336: Nina de Juan - Salto,03/06/2021,01:00:05,https://www.rtve.es/play/audios/discopolis/nina-juan-paso-030621/5925432/,5925432,"Ramón García dedica el último capítulo de su libro ""Vivir con banda sonora"" a Carolina de Juan y el grupo Morgan, que hizo con Paco y Ekain. El artículo se l...",2021-06-03 14:00:00,PT60M,https://www.rtve.es/drmn/embed/audio/5925432,https://img2.rtve.es/a/5925432/?imgProgApi=imgBackground&w=400,"Ramón García dedica el último capítulo de su libro 'Vivir con banda sonora' a Carolina de Juan y el grupo Morgan, que hizo con Paco y Ekain. El artículo se llamó 'Una noche de insomnio'. Me motivó profundamente para seguir la pista de esta veinteañera madrileña, hija de Javier de Juan (Coz), que quiere llamarse 'Nina', vocalista de Morgan. Listado de canciones:(ARTISTA - Título, 'disco'. MORGAN - Home, de 'North'MORGAN - Goodbye, de 'North'NINA DE JUAN - De haberlo sabido (tema de Quique González cantado por ella sola, grabado en el MadCool 2017)MORGAN - Planet Earth, de 'Air'NUNATAK - Aun respiraDINERO - Armas sin filo (segunda voz)MORGAN - Sargento de hierro, de 'Air'Tras estas maravillas nos fijamos en el grupo del madrieño Germán Salto:SALTO - Cara a completa (imaginaria) del segundo disco, 'Far From the Echoes' que comienza con 'Everything' y sigue con cuatro piezas mas, que oimos en forma de suite. Mañana hablaremos del 'Carnaval Pop' de Cádiz.","discopolis, 11.336: nina de juan - salto, radio, rne, online, rtve play",José Miguel López
"11.337: ""Carnaval Pop"" Cádiz",04/06/2021,01:00:28,https://www.rtve.es/play/audios/discopolis/cadiz-040621/5925433/,5925433,"Fernando Lobo, cantautor, Licenciado en Historia, es buen aficionado al Carnaval de su Cádiz natal. Acaba de publicar un libro sobre la historia del mismo co...",2021-06-04 14:00:00,PT60M,https://www.rtve.es/drmn/embed/audio/5925433,https://img2.rtve.es/a/5925433/?imgProgApi=imgBackground&w=400,"Fernando Lobo, cantautor, Licenciado en Historia, es buen aficionado al Carnaval de su Cádiz natal. Acaba de publicar un libro sobre la historia del mismo con el argumento de 'Huellas del Carnaval de Cádiz en otras músicas actuales'. Se titula 'Carnaval Pop' y lo edita la serie Gong de libros. 420 páginas por donde desfilan numerosos artistas y estilos. Es un buen libro y por ello le dedicamos el programa entero, ilustrando los comentarios estaLista de canciones:(INTÉRPRETE - Título de la canción)01.- CHANO LOBATO Tango de carnaval02.- MARIANA CORNEJO La guapa de Cádiz03.- JUANITO VILLAR El barquito (Pasodoble)04.- BENI DE CÁDIZ La bombita (Tanguillos)05.- MARISOL Los duros antiguos06.- LOS BEATLES DE CÁDIZ con ROCIO DURCAL Terententen07.- CHIRIGOTA LOS HOMBRES DEL MAR Como los aparcamientos08.- CHIRIGOTA NO TE VAYAS TODAVÍA Cuplés de Errejón y La Barca09.- CARLOS CANO La murga de los currelantes10.- CARLOS CANO Habanera de Cádiz11.- JOAQUÍN SABINA Motivos de un sentimiento (Himno del Atlético de Madrid)12.- LA CANALLA Malandro Limón13.- CHANO DOMÍNGUEZ El vaporcito14.- FERNANDO LOBO Músico callejeroQuedan 17 para el Día de la Música y 19 para mi jubilación forzosa, por tanto no voluntaria. Este finde Discópolis Jazz.","discopolis, 11.337: ""carnaval pop"" cadiz, radio, rne, online, rtve play",José Miguel López
